idx	weapon	skin	keychain	scope	background

1.png	hunting_rifle  None None      dot       blue      
2.png	spaz           1    leaf      acog      blue      
3.png	revolver       None None      acog      green     
4.png	mp5            None None      acog      blue      
5.png	spaz           4    None      None      green     
6.png	deagle         8    pinata    acog      green     
7.png	db             2    None      None      green     
8.png	deagle         3    None      acog      blue      
9.png	p90            3    None      dot       green     
10.png	revolver       1    leaf      holo      blue      
11.png	mp5            5    None      dot       green     
12.png	db             1    leaf      None      green     
13.png	l96            6    None      None      blue      
14.png	revolver       2    disco     None      red       
15.png	l96            1    leaf      holo      blue      
16.png	p90            None leaf      None      green     
17.png	mp5            7    leaf      None      blue      
18.png	revolver       6    pinata    None      green     
19.png	revolver       3    None      dot       green     
20.png	deagle         None None      None      blue      
21.png	hunting_rifle  4    leaf      acog      green     
22.png	p90            4    medal     acog      green     
23.png	mp5            2    leaf      None      purple    
24.png	db             1    None      acog      purple    
25.png	p90            None None      dot       blue      
26.png	spaz           3    None      acog      green     
27.png	hunting_rifle  4    disco     dot       green     
28.png	p90            4    None      acog      green     
29.png	spaz           3    None      acog      purple    
30.png	mp5            3    disco     acog      green     
31.png	mp5            None None      None      green     
32.png	hunting_rifle  3    None      dot       red       
33.png	ak47           1    None      holo      blue      
34.png	spaz           6    leaf      acog      blue      
35.png	mp5            6    leaf      acog      green     
36.png	db             None None      None      blue      
37.png	spaz           7    None      acog      blue      
38.png	mp5            4    None      holo      blue      
39.png	spaz           3    None      None      blue      
40.png	deagle         7    None      acog      purple    
41.png	revolver       8    None      None      blue      
42.png	spaz           1    None      acog      blue      
43.png	mp5            2    leaf      None      blue      
44.png	db             7    pinata    None      blue      
45.png	revolver       None None      None      green     
46.png	revolver       2    pinata    dot       purple    
47.png	deagle         4    leaf      acog      blue      
48.png	l96            2    dice      dot       green     
49.png	db             6    pinata    dot       blue      
50.png	revolver       5    None      holo      green     
51.png	db             5    None      None      blue      
52.png	db             2    medal     None      purple    
53.png	p90            8    pinata    holo      green     
54.png	revolver       3    leaf      None      green     
55.png	spaz           8    disco     acog      blue      
56.png	db             None None      acog      green     
57.png	l96            4    leaf      None      purple    
58.png	db             6    leaf      acog      purple    
59.png	p90            None None      None      blue      
60.png	mp5            1    None      dot       green     
61.png	l96            1    None      holo      blue      
62.png	mp5            5    disco     acog      red       
63.png	ak47           7    pinata    acog      blue      
64.png	mp5            None None      acog      purple    
65.png	rpg            1    None      acog      green     
66.png	deagle         3    None      acog      purple    
67.png	mp5            6    None      acog      green     
68.png	mp5            7    None      None      purple    
69.png	revolver       8    None      dot       green     
70.png	deagle         4    None      None      blue      
71.png	spaz           2    dice      None      green     
72.png	revolver       7    None      dot       purple    
73.png	l96            2    dice      acog      blue      
74.png	l96            None None      None      green     
75.png	l96            2    None      holo      blue      
76.png	l96            None None      dot       green     
77.png	spaz           5    disco     dot       blue      
78.png	spaz           5    dice      holo      green     
79.png	revolver       None disco     None      blue      
80.png	hunting_rifle  1    medal     None      blue      
81.png	l96            2    None      dot       red       
82.png	db             8    leaf      holo      green     
83.png	db             7    None      acog      green     
84.png	revolver       5    None      None      green     
85.png	mp5            8    None      thermal   green     
86.png	revolver       1    None      holo      blue      
87.png	db             2    leaf      None      green     
88.png	rpg            None leaf      holo      green     
89.png	db             4    leaf      acog      blue      
90.png	revolver       None dice      acog      blue      
91.png	spaz           2    disco     None      blue      
92.png	spaz           4    None      thermal   green     
93.png	spaz           4    pinata    thermal   blue      
94.png	mp5            None None      dot       green     
95.png	mp5            None dice      acog      green     
96.png	deagle         4    leaf      dot       purple    
97.png	mp5            None None      None      green     
98.png	p90            None medal     None      red       
99.png	hunting_rifle  1    leaf      thermal   blue      
100.png	db             6    leaf      acog      blue      
101.png	db             None None      dot       green     
102.png	p90            None None      acog      blue      
103.png	deagle         2    None      dot       green     
104.png	mp5            2    None      holo      green     
105.png	tar            2    pinata    holo      green     
106.png	hunting_rifle  1    disco     acog      green     
107.png	hunting_rifle  None None      acog      blue      
108.png	revolver       5    pinata    None      green     
109.png	ray_gun        4    leaf      acog      green     
110.png	p90            5    None      dot       blue      
111.png	deagle         6    leaf      dot       blue      
112.png	p90            5    None      None      red       
113.png	revolver       4    None      dot       green     
114.png	mp5            2    None      acog      blue      
115.png	p90            2    disco     dot       green     
116.png	p90            2    leaf      None      green     
117.png	mp5            7    None      thermal   purple    
118.png	revolver       3    leaf      holo      blue      
119.png	p90            6    None      dot       green     
120.png	db             1    None      acog      green     
121.png	deagle         None None      None      purple    
122.png	revolver       4    disco     holo      blue      
123.png	revolver       3    None      acog      blue      
124.png	spaz           2    leaf      None      red       
125.png	db             None disco     None      green     
126.png	tar            5    None      dot       blue      
127.png	p90            8    leaf      dot       green     
128.png	spaz           1    leaf      None      green     
129.png	spaz           6    disco     dot       blue      
130.png	deagle         None None      holo      green     
131.png	ak47           1    disco     dot       purple    
132.png	spaz           4    None      thermal   blue      
133.png	hunting_rifle  7    None      None      purple    
134.png	revolver       1    disco     dot       blue      
135.png	deagle         None medal     holo      green     
136.png	db             1    disco     dot       green     
137.png	deagle         2    pinata    dot       green     
138.png	revolver       7    None      thermal   green     
139.png	revolver       2    medal     None      green     
140.png	l96            1    leaf      dot       green     
141.png	deagle         3    leaf      acog      blue      
142.png	deagle         4    None      acog      blue      
143.png	db             1    None      acog      green     
144.png	revolver       5    None      dot       blue      
145.png	spaz           2    None      holo      red       
146.png	p90            7    leaf      None      blue      
147.png	revolver       None None      dot       green     
148.png	revolver       4    None      acog      green     
149.png	revolver       7    disco     holo      purple    
150.png	hunting_rifle  6    leaf      None      blue      
151.png	spaz           5    dice      dot       purple    
152.png	deagle         7    leaf      acog      green     
153.png	deagle         7    None      None      green     
154.png	revolver       4    None      dot       green     
155.png	spaz           6    leaf      holo      blue      
156.png	spaz           6    leaf      None      blue      
157.png	deagle         4    leaf      thermal   purple    
158.png	p90            2    disco     None      purple    
159.png	l96            None None      acog      blue      
160.png	revolver       7    None      holo      blue      
161.png	db             None dice      None      green     
162.png	db             5    pinata    dot       purple    
163.png	hunting_rifle  6    disco     holo      green     
164.png	deagle         1    leaf      None      green     
165.png	hunting_rifle  2    leaf      holo      blue      
166.png	deagle         1    dice      None      blue      
167.png	spaz           7    None      dot       green     
168.png	spaz           3    None      dot       green     
169.png	l96            None leaf      None      green     
170.png	revolver       5    medal     thermal   blue      
171.png	db             None leaf      dot       green     
172.png	rpg            None None      dot       green     
173.png	ray_gun        5    None      dot       green     
174.png	revolver       1    None      None      blue      
175.png	spaz           7    leaf      thermal   green     
176.png	spaz           5    None      thermal   purple    
177.png	deagle         2    pinata    dot       green     
178.png	tar            None None      acog      blue      
179.png	hunting_rifle  5    leaf      thermal   green     
180.png	mp5            4    None      holo      blue      
181.png	revolver       3    leaf      None      green     
182.png	ray_gun        8    leaf      None      green     
183.png	revolver       7    None      None      green     
184.png	deagle         8    None      acog      purple    
185.png	hunting_rifle  None None      dot       green     
186.png	revolver       3    dice      None      blue      
187.png	rpg            1    None      acog      green     
188.png	ak47           6    None      acog      blue      
189.png	ray_gun        5    None      None      green     
190.png	db             None None      None      green     
191.png	deagle         4    dice      acog      blue      
192.png	l96            5    None      None      green     
193.png	revolver       4    None      holo      blue      
194.png	rpg            2    None      None      purple    
195.png	revolver       2    None      dot       green     
196.png	spaz           4    medal     holo      purple    
197.png	spaz           6    None      acog      blue      
198.png	revolver       3    None      None      green     
199.png	ak47           4    None      None      green     
200.png	p90            5    dice      dot       green     
201.png	p90            4    dice      holo      red       
202.png	ak47           None leaf      dot       purple    
203.png	p90            None disco     holo      purple    
204.png	rpg            None medal     holo      blue      
205.png	mp5            4    None      acog      green     
206.png	hunting_rifle  3    disco     None      blue      
207.png	ray_gun        3    medal     dot       purple    
208.png	db             1    leaf      acog      green     
209.png	deagle         1    None      thermal   green     
210.png	revolver       None None      holo      green     
211.png	tar            5    None      None      blue      
212.png	deagle         6    disco     None      blue      
213.png	mp5            7    leaf      None      purple    
214.png	deagle         3    None      acog      green     
215.png	spaz           None dice      None      purple    
216.png	db             1    leaf      None      green     
217.png	hunting_rifle  4    None      dot       blue      
218.png	spaz           None dice      holo      green     
219.png	spaz           1    None      holo      green     
220.png	l96            None None      None      green     
221.png	spaz           None None      None      green     
222.png	mp5            4    None      None      blue      
223.png	p90            6    None      holo      purple    
224.png	mp5            6    leaf      None      blue      
225.png	revolver       None disco     dot       blue      
226.png	spaz           2    leaf      holo      green     
227.png	revolver       5    None      None      purple    
228.png	tar            4    disco     holo      green     
229.png	p90            1    medal     acog      green     
230.png	deagle         8    None      dot       green     
231.png	db             5    None      None      green     
232.png	spaz           None None      holo      blue      
233.png	mp5            8    None      dot       green     
234.png	db             1    None      dot       green     
235.png	revolver       1    None      acog      green     
236.png	revolver       3    None      None      blue      
237.png	mp5            5    dice      dot       green     
238.png	hunting_rifle  3    leaf      dot       green     
239.png	mp5            None leaf      None      blue      
240.png	deagle         2    leaf      None      blue      
241.png	p90            7    disco     dot       blue      
242.png	p90            None medal     holo      red       
243.png	revolver       None None      holo      blue      
244.png	mp5            None None      None      purple    
245.png	ak47           None dice      dot       green     
246.png	revolver       None None      None      red       
247.png	hunting_rifle  None None      None      blue      
248.png	spaz           1    leaf      holo      green     
249.png	revolver       5    pinata    dot       red       
250.png	spaz           None None      None      purple    
251.png	ak47           4    medal     acog      purple    
252.png	p90            1    medal     None      blue      
253.png	revolver       3    medal     None      blue      
254.png	tar            None pinata    None      green     
255.png	p90            8    leaf      dot       green     
256.png	hunting_rifle  None leaf      None      green     
257.png	hunting_rifle  7    None      holo      green     
258.png	deagle         None None      None      green     
259.png	revolver       None medal     None      blue      
260.png	revolver       5    pinata    thermal   green     
261.png	revolver       2    None      None      blue      
262.png	revolver       None leaf      acog      purple    
263.png	revolver       4    disco     None      purple    
264.png	deagle         3    disco     dot       blue      
265.png	spaz           5    None      holo      green     
266.png	l96            1    medal     None      green     
267.png	spaz           6    None      None      red       
268.png	db             6    leaf      dot       blue      
269.png	db             4    disco     dot       blue      
270.png	mp5            5    leaf      holo      blue      
271.png	mp5            5    leaf      dot       purple    
272.png	spaz           4    pinata    dot       green     
273.png	spaz           4    leaf      holo      red       
274.png	spaz           None leaf      acog      blue      
275.png	hunting_rifle  2    None      holo      red       
276.png	db             3    leaf      dot       green     
277.png	hunting_rifle  2    leaf      dot       blue      
278.png	revolver       4    medal     holo      blue      
279.png	revolver       None disco     None      blue      
280.png	spaz           1    None      thermal   green     
281.png	hunting_rifle  7    None      dot       purple    
282.png	db             7    None      holo      green     
283.png	deagle         8    medal     dot       purple    
284.png	deagle         6    disco     None      blue      
285.png	db             5    None      None      green     
286.png	ak47           None None      holo      purple    
287.png	mp5            8    leaf      None      blue      
288.png	spaz           4    None      None      red       
289.png	p90            8    None      None      green     
290.png	db             7    disco     None      blue      
291.png	spaz           7    None      dot       green     
292.png	revolver       5    leaf      None      green     
293.png	mp5            2    medal     dot       purple    
294.png	revolver       5    None      acog      green     
295.png	p90            4    dice      None      purple    
296.png	hunting_rifle  2    medal     None      green     
297.png	spaz           None None      acog      green     
298.png	ak47           6    None      None      green     
299.png	l96            4    leaf      holo      green     
300.png	tar            1    None      dot       red       
301.png	db             1    leaf      None      green     
302.png	l96            2    None      acog      green     
303.png	mp5            1    medal     dot       red       
304.png	spaz           3    None      dot       red       
305.png	spaz           5    None      holo      green     
306.png	hunting_rifle  8    pinata    None      green     
307.png	revolver       None None      acog      blue      
308.png	ak47           None leaf      dot       blue      
309.png	revolver       4    medal     thermal   blue      
310.png	l96            4    leaf      None      purple    
311.png	l96            None None      None      purple    
312.png	p90            5    leaf      None      blue      
313.png	mp5            1    dice      dot       blue      
314.png	db             6    None      None      green     
315.png	tar            4    None      acog      green     
316.png	spaz           4    pinata    thermal   green     
317.png	db             2    dice      acog      purple    
318.png	tar            6    None      acog      purple    
319.png	mp5            None leaf      None      green     
320.png	revolver       None None      dot       green     
321.png	db             6    None      holo      green     
322.png	db             2    None      acog      purple    
323.png	mp5            4    None      None      blue      
324.png	deagle         2    None      dot       green     
325.png	mp5            1    dice      acog      blue      
326.png	revolver       2    leaf      None      blue      
327.png	deagle         7    None      None      purple    
328.png	ak47           5    None      holo      green     
329.png	tar            None None      dot       green     
330.png	p90            3    leaf      dot       blue      
331.png	db             1    None      acog      purple    
332.png	deagle         1    pinata    acog      green     
333.png	spaz           2    disco     dot       green     
334.png	deagle         2    leaf      holo      green     
335.png	ak47           3    None      holo      green     
336.png	l96            2    medal     None      green     
337.png	revolver       5    None      dot       green     
338.png	spaz           3    leaf      None      blue      
339.png	hunting_rifle  2    leaf      dot       blue      
340.png	deagle         7    disco     None      blue      
341.png	p90            6    None      holo      green     
342.png	mp5            1    disco     None      green     
343.png	spaz           None leaf      acog      blue      
344.png	db             8    None      dot       purple    
345.png	spaz           2    medal     None      green     
346.png	spaz           3    None      dot       blue      
347.png	ak47           8    dice      None      blue      
348.png	spaz           5    dice      dot       green     
349.png	db             None None      acog      green     
350.png	revolver       7    None      holo      purple    
351.png	db             1    None      dot       green     
352.png	spaz           None None      holo      blue      
353.png	ak47           4    None      None      green     
