idx	weapon	skin	keychain	scope	background

1.png	deagle         None disco     dot       purple    
2.png	l96            1    medal     None      green     
3.png	revolver       8    None      None      blue      
4.png	deagle         4    leaf      acog      green     
5.png	rpg            1    disco     holo      blue      
6.png	revolver       1    medal     None      purple    
7.png	p90            1    None      acog      blue      
8.png	db             6    dice      None      blue      
9.png	hunting_rifle  1    None      thermal   green     
10.png	spaz           None None      holo      green     
11.png	db             None None      acog      green     
12.png	tar            2    disco     acog      green     
13.png	p90            2    None      None      blue      
14.png	rpg            None None      acog      green     
15.png	l96            5    pinata    dot       purple    
16.png	hunting_rifle  2    None      acog      blue      
17.png	l96            6    None      dot       green     
18.png	l96            2    dice      acog      green     
19.png	revolver       7    leaf      dot       green     
20.png	ak47           6    None      None      green     
21.png	revolver       4    disco     dot       green     
22.png	hunting_rifle  None disco     dot       blue      
23.png	spaz           5    None      acog      blue      
24.png	mp5            3    medal     None      blue      
25.png	l96            None dice      None      red       
26.png	mp5            1    None      None      green     
27.png	hunting_rifle  4    None      acog      green     
28.png	ray_gun        3    None      acog      purple    
29.png	mp5            3    None      None      green     
30.png	deagle         1    disco     dot       purple    
31.png	hunting_rifle  None None      thermal   blue      
32.png	spaz           5    leaf      holo      green     
33.png	ak47           3    None      holo      green     
34.png	p90            1    None      acog      green     
35.png	db             None None      dot       blue      
36.png	mp5            2    None      None      green     
37.png	revolver       None None      acog      blue      
38.png	tar            1    None      acog      purple    
39.png	mp5            6    leaf      None      purple    
40.png	p90            2    medal     None      blue      
41.png	db             None leaf      acog      blue      
42.png	deagle         1    dice      acog      green     
43.png	deagle         4    None      acog      purple    
44.png	hunting_rifle  3    medal     None      green     
45.png	tar            6    None      dot       green     
46.png	db             None None      None      blue      
47.png	db             4    disco     None      blue      
48.png	hunting_rifle  6    leaf      None      green     
49.png	hunting_rifle  2    leaf      None      red       
50.png	deagle         4    None      dot       green     
51.png	ak47           None None      None      blue      
52.png	p90            1    None      holo      green     
53.png	ak47           5    None      None      green     
54.png	ak47           6    None      holo      green     
55.png	ak47           1    None      None      purple    
56.png	deagle         1    leaf      holo      blue      
57.png	revolver       1    leaf      None      blue      
58.png	mp5            1    None      holo      blue      
59.png	deagle         1    disco     acog      green     
60.png	hunting_rifle  None None      holo      blue      
61.png	revolver       2    None      acog      purple    
62.png	revolver       None dice      None      green     
63.png	l96            1    leaf      dot       blue      
64.png	spaz           8    leaf      acog      green     
65.png	db             2    None      dot       blue      
66.png	deagle         1    disco     holo      green     
67.png	l96            5    leaf      acog      green     
68.png	l96            3    None      None      green     
69.png	deagle         None disco     acog      purple    
70.png	spaz           6    None      acog      green     
71.png	deagle         1    medal     acog      blue      
72.png	deagle         1    None      dot       blue      
73.png	p90            3    leaf      None      red       
74.png	rpg            7    leaf      dot       blue      
75.png	db             6    pinata    None      blue      
76.png	revolver       2    None      acog      blue      
77.png	p90            1    disco     acog      green     
78.png	spaz           5    None      None      purple    
79.png	spaz           None leaf      dot       blue      
80.png	mp5            5    dice      holo      green     
81.png	spaz           1    leaf      holo      purple    
82.png	db             None None      holo      green     
83.png	db             3    None      None      blue      
84.png	spaz           None leaf      holo      green     
85.png	rpg            None medal     None      green     
86.png	spaz           None None      dot       green     
87.png	p90            6    leaf      None      green     
88.png	db             1    None      holo      blue      
89.png	l96            None None      dot       blue      
90.png	revolver       2    disco     acog      purple    
91.png	db             6    pinata    thermal   blue      
92.png	mp5            1    medal     holo      green     
93.png	mp5            1    None      None      green     
94.png	p90            4    None      acog      green     
95.png	spaz           2    None      thermal   blue      
96.png	db             6    leaf      dot       blue      
97.png	rpg            5    None      None      green     
98.png	db             6    None      dot       blue      
99.png	l96            2    None      None      blue      
100.png	deagle         5    None      None      purple    
101.png	revolver       1    dice      None      green     
102.png	db             9    None      dot       red       
103.png	db             6    leaf      None      green     
104.png	spaz           5    pinata    None      blue      
105.png	revolver       4    pinata    None      purple    
106.png	revolver       6    None      acog      green     
107.png	db             6    None      acog      purple    
108.png	revolver       8    None      None      green     
109.png	p90            6    disco     dot       green     
110.png	ray_gun        1    None      dot       blue      
111.png	mp5            1    disco     holo      red       
112.png	revolver       None None      acog      blue      
113.png	hunting_rifle  2    leaf      None      purple    
114.png	db             2    None      holo      purple    
115.png	hunting_rifle  4    disco     dot       green     
116.png	p90            None None      None      purple    
117.png	mp5            None leaf      dot       green     
118.png	revolver       4    None      holo      blue      
119.png	mp5            None None      None      green     
120.png	deagle         3    None      dot       green     
121.png	hunting_rifle  2    None      holo      green     
122.png	db             4    leaf      None      purple    
123.png	revolver       8    leaf      acog      green     
124.png	mp5            5    dice      dot       green     
125.png	ak47           3    pinata    dot       blue      
126.png	deagle         6    None      holo      purple    
127.png	revolver       4    None      dot       green     
128.png	db             2    None      None      blue      
129.png	revolver       1    medal     dot       green     
130.png	revolver       2    None      holo      blue      
131.png	deagle         3    None      dot       green     
132.png	hunting_rifle  6    None      None      purple    
133.png	ak47           1    leaf      thermal   blue      
134.png	hunting_rifle  4    None      None      green     
135.png	mp5            None None      acog      purple    
136.png	spaz           4    disco     None      green     
137.png	deagle         2    None      acog      blue      
138.png	deagle         6    leaf      None      green     
139.png	hunting_rifle  1    None      None      green     
140.png	spaz           1    None      acog      blue      
141.png	p90            5    None      dot       red       
142.png	deagle         2    disco     dot       blue      
143.png	mp5            None None      dot       green     
144.png	deagle         6    None      None      green     
145.png	spaz           2    medal     acog      blue      
146.png	db             5    None      dot       green     
147.png	deagle         8    None      dot       blue      
148.png	revolver       None None      None      purple    
149.png	l96            6    leaf      holo      red       
150.png	deagle         4    None      acog      green     
151.png	db             6    leaf      None      purple    
152.png	mp5            2    medal     acog      green     
153.png	tar            7    None      thermal   purple    
154.png	tar            1    leaf      acog      green     
155.png	hunting_rifle  None disco     None      red       
156.png	l96            5    None      dot       green     
157.png	l96            1    leaf      acog      green     
158.png	deagle         4    None      thermal   blue      
159.png	p90            2    None      None      green     
160.png	tar            7    dice      None      green     
